ring_m,ring_f,ring,couple_id,observer,year,brood_size,laying_date,laying_date_ymd,morph,sex,age,color_score_median,color_score_median_trans,color_score_median_trans_ord,morph_f,morph_m,parent_combination,color_score_median_f,color_score_median_trans_f,color_score_median_trans_ord_f,color_score_median_m,color_score_median_trans_m,color_score_median_trans_ord_m,colour_score_median_midparent,colour_score_median_midparent_trans,breed_snow_depth_mean,breed_snow_days_n,breed_temp_air_mean,breed_temp_air_CV
188595,588,608,296,a,2002,3,-6,2002-03-25,brown,female,4,10,1,1,gray,"",gray_NA,7,2,4,,,,,,3,2,7.51,0.53
512,472,422,211,a,1999,3,3,1999-04-03,brown,female,3,13,4,4,brown,gray,brown_gray,12,3,3,7,2,4,9,2,8.2,5,6.89,0.58
513,532,589,266,b,2001,3,3,2001-04-03,brown,female,4,12,3,3,gray,brown,gray_brown,5,4,2,13,4,4,9,4,4.25,4,7.98,0.47
521,469,559,209,a,2001,3,5,2001-04-05,gray,male,2,6,3,3,brown,gray,brown_gray,12,3,3,8,1,5,10,2,4.25,4,8.11,0.46
539,537,557,269,a,2001,2,5,2001-04-05,gray,male,5,6,3,3,gray,gray,gray_gray,6,3,3,7,2,4,6,2,4.25,4,8.11,0.46
542,437,543,177,b,2001,5,-19,2001-03-12,gray,male,2,6,3,3,gray,brown,gray_brown,6,3,3,12,3,3,9,3,10.24,25,3.33,0.55
542,437,544,177,b,2001,5,-19,2001-03-12,brown,male,3,12,3,3,gray,brown,gray_brown,6,3,3,12,3,3,9,3,10.24,25,3.33,0.55
547,422,551,171,a,2001,3,-1,2001-03-30,gray,male,2,7,2,4,brown,gray,brown_gray,13,4,4,6,3,3,9,3,4.57,7,7.58,0.53
557,652,677,354,a,2006,3,-8,2006-03-23,gray,male,4,6,3,3,gray,gray,gray_gray,7,2,4,6,3,3,6,2,14.5,16,5.12,0.47
559,17,628,589,a,2002,3,-2,2002-03-29,gray,female,4,6,3,3,brown,gray,brown_gray,12,3,3,6,3,3,9,3,3,2,8.24,0.55
567,564,577,285,a,2002,3,-12,2002-03-19,brown,female,3,12,3,3,gray,brown,gray_brown,6,3,3,12,3,3,9,3,3,2,6.73,0.6
570,640,656,343,a,2005,1,2,2005-04-02,brown,female,2,12,3,3,gray,brown,gray_brown,7,2,4,13,4,4,10,3,1,2,7.32,0.51
572,304,645,75,a,2004,1,15,2004-04-15,gray,male,2,8,1,5,gray,brown,gray_brown,6,3,3,10,1,1,8,2,0,0,9.83,0.42
